condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_intro.started,text_intro.stopped,text_cross.started,text_cross.stopped,text_pre_condition.started,text_pre_condition.stopped,text_pre_fix.started,text_pre_fix.stopped,text_condition.started,text_condition.stopped,text.started,text.stopped,text_end.started,text_end.stopped,participant,session,date,expName,psychopyVersion,frameRate,
hand,7,1,15,1,,,207.0834818000003,None,210.08360209999955,None,210.08360209999955,None,211.58372450000024,None,216.58392119999917,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
hand,8,0,16,1,,,218.58399459999055,None,221.5841242000024,None,221.5841242000024,None,223.08422879999853,None,228.08433559999685,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
hand,8,1,17,1,,,230.0844810999988,None,233.08454149999307,None,233.08454149999307,None,234.58460239999113,None,239.5848122999887,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
feet,9,0,18,0,,,241.5849484999926,None,244.60167759998876,None,244.60167759998876,None,246.10180029999174,None,251.0852775999956,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
feet,9,1,19,0,,,253.08542089999537,None,256.0855401000008,None,256.0855401000008,None,257.5855420000007,None,262.5857430999895,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
feet,10,0,20,0,,,264.5859072999883,None,267.5859950000013,None,267.5859950000013,None,269.08599399999366,None,274.0863105999888,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
hand,10,1,21,1,,,276.08631230000174,None,279.1030832999968,None,279.1030832999968,None,280.6031460999948,None,285.5866815999907,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
feet,11,0,22,0,,,287.58678639998834,None,290.6035516999982,None,290.6035516999982,None,292.10367419999966,None,297.0871465999953,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
hand,11,1,23,1,,,299.08733699998993,None,302.1040623000008,None,302.1040623000008,None,303.60413819999667,None,308.58761909999885,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
hand,12,0,24,1,,,310.587698599993,None,313.58790639998915,None,313.58790639998915,None,315.0879392999923,None,320.08813889999874,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
